ITEMS Thu 12-01-2022 - Sat 12-31-2022,,,,,,
Item,Size,Report Category,SKU,Qty,Net,Gross
Coffee,,NON ALCOHOL,,92,$274.50,$276.00
Coors Edge Non-alcoholic-Bottle,,NON ALCOHOL,,8,$46.00,$48.00
Coors Light,,BEER,,37,$175.00,$185.00
Corkage Fee,,WINE,,1,$8.00,$10.00
Cosmopolitan,SINGLE,ALCOHOL,,8,$80.00,$80.00
Courageous Koi,SINGLE,ALCOHOL,,113,"$1,419.00","$1,469.00"
Crab Rangoon,,FOOD,,173,"$2,886.60","$2,941.00"
Cranberry Juice,,NON ALCOHOL,,3,$15.00,$15.00
Crown Royal,SINGLE,ALCOHOL,,9,$72.00,$72.00
Crown Royal,DOUBLE,ALCOHOL,,2,$24.00,$24.00
Daquiri,SINGLE,ALCOHOL,,2,$20.00,$20.00
Dark And Stormy,SINGLE,ALCOHOL,,3,$27.00,$27.00
Denizen Aged White,SINGLE,ALCOHOL,,1,$6.00,$6.00
Denizen Vatted Dark,SINGLE,ALCOHOL,,1,$8.00,$8.00
Devil's Own Coconut Rum,SINGLE,ALCOHOL,,2,$26.00,$26.00
Devil's Own Hibiscus,SINGLE,ALCOHOL,,2,$26.00,$26.00
Devil's Own Tropical Ginger Rum,SINGLE,ALCOHOL,,1,$13.00,$13.00
District 7 Sauvignon Blanc,GLASS,WINE,,70,$594.00,$630.00
District 7 Sauvignon Blanc Bottle,,WINE,,4,$134.00,$136.00
Don Julio Anejo,SINGLE,ALCOHOL,,13,$208.00,$208.00
Don Julio Anejo,DOUBLE,ALCOHOL,,1,$21.00,$21.00
Don Julio Blanco,SINGLE,ALCOHOL,,19,$270.50,$270.50
Don Julio Blanco,DOUBLE,ALCOHOL,,1,$18.00,$18.00
Don Q Gold,SINGLE,ALCOHOL,,1,$6.00,$6.00
Don Q Gran Reserva Anejo,SINGLE,ALCOHOL,,1,$13.00,$13.00
Dragon's Bite,SINGLE,ALCOHOL,,133,"$1,528.80","$1,596.00"
Dragon's Bite,DOUBLE,ALCOHOL,,2,$36.00,$38.00
Drake's IPA - Draft,,DRAFT BEER,,108,$762.00,$864.00
Easter Island Mug,,MERCH-- MUGS,,11,$165.00,$165.00
Edamame Bowl,,FOOD,,193,"$1,337.00","$1,351.00"
El Dorado 12 Year,SINGLE,ALCOHOL,,1,$10.00,$10.00
El Silencio Mezcal,SINGLE,ALCOHOL,,1,$10.00,$10.00
Espolon Reposado,SINGLE,ALCOHOL,,3,$22.50,$22.50
Finnish Long Drink,,BEER,,5,$29.00,$35.00
Flor de Cana 25 Year,SINGLE,ALCOHOL,,1,$34.00,$34.00
Fool's Gold,SINGLE,ALCOHOL,,9,$108.00,$108.00
Freaky Tiki,,ALCOHOL,,109,$756.00,$763.00
French 75,SINGLE,ALCOHOL,,1,$10.00,$10.00
Fried Rice,,FOOD,,154,"$2,588.10","$2,649.00"
Gimlet,SINGLE,ALCOHOL,,1,$8.00,$8.00
Goslings Ginger Beer,,NON ALCOHOL,,13,$52.00,$52.00
Grand Marnier,SINGLE,ALCOHOL,,1,$9.00,$9.00
Gray Whale Gin,SINGLE,ALCOHOL,,2,$18.00,$18.00
Grey Goose,SINGLE,ALCOHOL,,23,$300.00,$300.00
Grilled Mahi,,FOOD,,244,"$5,795.20","$5,866.00"
Grilled Salmon,,FOOD,,244,"$5,635.50","$5,863.50"
Guava Juice,,NON ALCOHOL,,56,$280.00,$280.00
Guava-Soy Beef Skewers,,FOOD,,83,"$1,278.75","$1,416.00"
Guava-Soy Bistro Steak,,FOOD,,239,"$4,454.90","$4,874.40"
Hamilton 86 Guyana,SINGLE,ALCOHOL,,2,$16.00,$16.00
Hamilton Black Pot Still,SINGLE,ALCOHOL,,1,$8.00,$8.00
Hangar 1,SINGLE,ALCOHOL,,1,$11.00,$11.00
Hawaiian BBQ Pork Sliders,,FOOD,,283,"$3,875.65","$4,041.00"
Hawaiian Bun (1),,FOOD,,29,$20.50,$29.00
Hawaiian Fried Chicken,,FOOD,,362,"$7,042.50","$7,270.00"
Hawaiian MAI TAI,SINGLE,ALCOHOL,,451,"$5,161.80","$5,412.00"
Hawaiian MAI TAI,DOUBLE,ALCOHOL,,2,$36.00,$36.00
Hawaiian Mai Tai Mug,,MERCH-- MUGS,,36,$540.00,$540.00
Hayes Valley,GLASS,WINE,,61,$381.00,$427.00
Hayes Valley,BOTTLE,WINE,,1,$26.00,$26.00
Hayes Valley Cabernet Bottle,,WINE,,1,$26.00,$26.00
Hendrick's,SINGLE,ALCOHOL,,10,$110.00,$110.00
Hennessey VS,SINGLE,ALCOHOL,,1,$11.50,$11.50
Hibiscus Lei,,ALCOHOL,,89,$616.00,$623.00
Holiday Tumbler,,MERCH-- MUGS,,85,"$1,079.00","$1,105.00"
Hornitos Reposado,SINGLE,ALCOHOL,,2,$14.00,$14.00
Hornitos Reposado,DOUBLE,ALCOHOL,,1,$11.00,$11.00
Hot Chocolate,,NON ALCOHOL,,9,$27.00,$27.00
Hot Tea,,NON ALCOHOL,,55,$165.00,$165.00
Hula Pie Gelato,,FOOD,,28,$100.00,$140.00
Iced tea,,NON ALCOHOL,,84,$252.00,$252.00
Irish Coffee,SINGLE,ALCOHOL,,17,$187.00,$187.00
Jack Daniels,SINGLE,ALCOHOL,,12,$84.00,$84.00
Jack Daniels,DOUBLE,ALCOHOL,,7,$77.00,$77.00
Jacques Bonet Brandy,SINGLE,ALCOHOL,,1,$9.00,$9.00
Jameson Irish Whisky,SINGLE,ALCOHOL,,32,$224.00,$224.00
Jameson Irish Whisky,DOUBLE,ALCOHOL,,9,$98.50,$98.50
Johnnie Walker Black,SINGLE,ALCOHOL,,1,$9.00,$9.00
Juicy Fruit,SINGLE,ALCOHOL,,76,$860.00,$912.00
Juicy Fruit,DOUBLE,ALCOHOL,,1,$17.00,$19.00
Kahanamoku,SINGLE,ALCOHOL,,145,"$1,675.80","$1,740.00"
Kahlua,DOUBLE,ALCOHOL,,1,$9.00,$9.00
Kahlua,SINGLE,ALCOHOL,,2,$12.00,$12.00
Kalbi Ribs,,FOOD,,432,"$9,443.60","$9,574.00"
Kamikazi,SINGLE,ALCOHOL,,9,$63.00,$63.00
Ketel One,SINGLE,ALCOHOL,,10,$90.00,$90.00
Kid's Burger,,FOOD,,146,$898.80,"$1,022.00"
Kid's Corn Dog,,FOOD,,75,$507.50,$525.00
Kid's Pork Slider,,FOOD,,21,$126.00,$147.00
Kids Teriyaki Chicken,,FOOD,,64,$416.50,$448.00
Kilauea Cake,,FOOD,,181,"$1,657.00","$1,731.00"
Koloa Coconut,SINGLE,ALCOHOL,,1,$7.00,$7.00
Koloa Spiced Rum,SINGLE,ALCOHOL,,2,$14.00,$14.00
Kona Big Wave Ale,,BEER,,8,$50.00,$56.00
Kona Big Wave Ale (Draft),,DRAFT BEER,,43,$316.00,$344.00
Kona Hanalei IPA,,BEER,,7,$45.00,$49.00
Kona Longboard,,DRAFT BEER,,164,"$1,228.00","$1,312.00"
Korbel Prosecco Split,,WINE,,19,$224.00,$228.00
Kraken Spiced Rum,SINGLE,ALCOHOL,,7,$49.00,$49.00
Lemon Drop,SINGLE,ALCOHOL,,7,$63.00,$63.00
Lemon Hart 1804,SINGLE,ALCOHOL,,2,$12.00,$12.00
Lemon Hart Blackpool Spiced,SINGLE,ALCOHOL,,5,$45.00,$45.00
Line 39 Chardonnay,GLASS,WINE,,95,$696.00,$760.00
Line 39 Chardonnay,BOTTLE,WINE,,3,$88.00,$90.00
Loco Moco,,FOOD,,234,"$3,655.55","$3,749.95"
Long Island Iced Tea,SINGLE,ALCOHOL,,19,$190.00,$190.00
Luna Azul,SINGLE,ALCOHOL,,24,$174.00,$174.00
Luna Sea,SINGLE,ALCOHOL,,43,$344.50,$344.50
Luna Sea,DOUBLE,ALCOHOL,,3,$31.50,$31.50
Luxardo Amaretto,SINGLE,ALCOHOL,,1,$9.50,$9.50
Lychee Martini,SINGLE,ALCOHOL,,172,"$1,944.40","$2,064.00"
Macallan 12,SINGLE,ALCOHOL,,1,$19.00,$19.00
Macallan 12,DOUBLE,ALCOHOL,,1,$28.00,$28.00
Makai Beyond Burger,,FOOD,,127,"$2,071.80","$2,201.50"
Makai Burger,,FOOD,,426,"$6,506.90","$6,890.50"
Makai Mac Salad,,FOOD,,117,$575.00,$585.00
Makai Margarita,SINGLE,ALCOHOL,,359,"$4,102.00","$4,308.00"
Makai Margarita To Go,SINGLE,ALCOHOL,,1,$12.00,$12.00
Makai Surf n' Turf Skewer Combo,,FOOD,,181,"$3,153.00","$3,263.00"
Maker's Mark,SINGLE,ALCOHOL,,35,$402.00,$402.00
Maker's Mark,DOUBLE,ALCOHOL,,4,$60.00,$60.00
Malibu Coconut Rum,SINGLE,ALCOHOL,,4,$28.00,$28.00
Malibu Coconut Rum,DOUBLE,ALCOHOL,,2,$22.00,$22.00
Mango Sorbet,,FOOD,,24,$95.00,$120.00
Margarita,SINGLE,ALCOHOL,,36,$324.00,$324.00
Martinique Swizzle,SINGLE,ALCOHOL,,1,$13.00,$13.00
Mashed Potatoes,,FOOD,,2,$2.00,$8.00
Maui Hard Seltzer,,BEER,,6,$38.00,$42.00
Mermaid's Kiss,SINGLE,ALCOHOL,,86,"$1,064.00","$1,118.00"
Milk,,NON ALCOHOL,,12,$36.00,$36.00
Mimosa,,ALCOHOL,,9,$90.00,$90.00
Mochi Ice Cream,,FOOD,,45,$308.00,$315.00
Modelo Especial,,BEER,,78,$503.30,$546.00
Mojito,SINGLE,ALCOHOL,,8,$80.00,$80.00
Moscow Mule,SINGLE,ALCOHOL,,10,$87.30,$90.00
Mr. Makai,,ALCOHOL,,26,$357.00,$390.00
Mr. Makai Hoodies,,MERCH--TSHIRTS,,5,$240.00,$300.00
Mr. Makai Long Sleeve,,MERCH--TSHIRTS,,13,$330.00,$390.00
Mr. Makai Mug,,MERCH-- MUGS,,1,$30.00,$30.00
Mr. Makai Short Sleeve,,MERCH--TSHIRTS,,6,$100.00,$120.00
Mr. Makai WITHOUT mug,,ALCOHOL,,131,"$1,893.00","$1,965.00"
Naked Ape,SINGLE,ALCOHOL,,2,$24.00,$24.00
Negroni,SINGLE,ALCOHOL,,4,$48.00,$48.00
New Amsterdam Gin,SINGLE,ALCOHOL,,13,$97.00,$97.00
Ocean Vodka,SINGLE,ALCOHOL,,1,$12.00,$12.00
Old Fashioned,SINGLE,ALCOHOL,,5,$40.00,$40.00
Old Monk Supreme Rum 12 Year,SINGLE,ALCOHOL,,1,$7.00,$7.00
Old Monk Very Old Vatted 7 Year,SINGLE,ALCOHOL,,1,$6.00,$6.00
One Egg Side,,FOOD,,26,$33.00,$78.00
Open Drink,,ALCOHOL,,5,$50.00,$58.00
Open Food,,FOOD,,33,"$7,149.00","$7,172.00"
Open Gift Card,,GIFT CARDS & CERTS,,31,"$1,930.00","$2,288.00"
Orange Juice,,NON ALCOHOL,,20,$100.00,$100.00
POG Spritzer,,ALCOHOL,,112,$784.00,$784.00
Painkiller,SINGLE,ALCOHOL,,372,"$5,008.00","$5,208.00"
Painkiller,DOUBLE,ALCOHOL,,2,$40.00,$42.00
Papaya Salad,,FOOD,,114,"$1,903.00","$1,932.00"
Passionfruit Guava Sorbet,,FOOD,,18,$60.00,$90.00
Patron Silver,SINGLE,ALCOHOL,,14,$188.00,$188.00
Philly Cheese Steak,,FOOD,,154,"$1,987.00","$2,660.50"
Pina Colada,SINGLE,ALCOHOL,,34,$442.00,$442.00
Pineapple Juice,,NON ALCOHOL,,39,$116.40,$117.00
Pineapple Koolslaw,,FOOD,,34,$170.00,$170.00
Pineapple Surf,,ALCOHOL,,149,"$1,043.00","$1,043.00"
Plantation 5 year,SINGLE,ALCOHOL,,1,$7.00,$7.00
Plantation Dark Rum,SINGLE,ALCOHOL,,7,$42.00,$42.00
Plantation Light Rum,DOUBLE,ALCOHOL,,1,$10.00,$10.00
Plantation Light Rum,SINGLE,ALCOHOL,,9,$66.00,$66.00
Plantation OFTD,SINGLE,ALCOHOL,,3,$27.00,$27.00
Plantation Trinidad 2009,,ALCOHOL,,2,$36.00,$36.00
Plantation Xaymaca,SINGLE,ALCOHOL,,1,$7.00,$7.00
Poema Cava,GLASS,WINE,,14,$84.00,$98.00
Poema Cava,BOTTLE,WINE,,1,$26.00,$26.00
Poke Bowl,,FOOD,,505,"$11,371.20","$11,615.00"
Poke Stack,,FOOD,,275,"$4,313.60","$4,400.00"
Port Light,SINGLE,ALCOHOL,,3,$36.00,$36.00
Proof & Wood 3/2,SINGLE,ALCOHOL,,3,$45.00,$45.00
Puka Punch,SINGLE,ALCOHOL,,6,$72.00,$72.00
Pulled Pork Island Nacho,,FOOD,,267,"$4,075.20","$4,272.00"
Punch To The Skull,,ALCOHOL,,28,$414.50,$420.00
Punch To The Skull Jar,,MERCH-- MUGS,,33,$197.40,$198.00
Punch to the Skull WITHOUT jar,,ALCOHOL,,31,$383.00,$403.00
Pupu Platter,,FOOD,,116,"$3,417.00","$3,486.00"
Pusser's Gunpowder,SINGLE,ALCOHOL,,1,$9.00,$9.00
Pusser's Navy,SINGLE,ALCOHOL,,3,$21.00,$21.00
Pusser's Navy,DOUBLE,ALCOHOL,,1,$11.00,$11.00
R.L. Seale 12 Year,SINGLE,ALCOHOL,,2,$24.00,$24.00
Red Stripe,,BEER,,46,$242.00,$276.00
Rice Side,,FOOD,,66,$147.00,$198.00
Robert Mondavi Merlot,GLASS,WINE,,37,$295.00,$333.00
Robert Mondavi Merlot,BOTTLE,WINE,,2,$68.00,$68.00
Roy  Roger,,NON ALCOHOL,,3,$12.00,$12.00
Rum Rum Rudolph,,ALCOHOL,,42,$494.00,$504.00
Satellite,SINGLE,ALCOHOL,,6,$72.00,$72.00
Saturn,SINGLE,ALCOHOL,,132,"$1,522.00","$1,584.00"
Saut̩ed Mixed Veggies,,FOOD,,19,$129.50,$133.00
Scorpion Bowl,,ALCOHOL,,52,"$2,054.00","$2,080.00"
Screwdriver,SINGLE,ALCOHOL,,4,$28.00,$28.00
Seared Ahi Salad,,FOOD,,116,"$1,845.00","$2,088.00"
Seismic Fries,,FOOD,,273,"$1,729.00","$1,911.00"
Shimmer Pilsner--Draft,,DRAFT BEER,,136,"$1,006.40","$1,088.00"
Shirley Temple,,NON ALCOHOL,,27,$108.00,$108.00
Side Salad,,FOOD,,62,$413.00,$434.00
Side Salad Sub,,FOOD,,19,$55.50,$57.00
Skeleton Surfer Short Sleeve,,MERCH--TSHIRTS,,2,$20.00,$40.00
Skeleton Surfer Tanktop,,MERCH--TSHIRTS,,1,$20.00,$20.00
Smoke &  Embers,SINGLE,ALCOHOL,,3,$42.00,$42.00
Soda,,NON ALCOHOL,,545,"$1,635.00","$1,635.00"
Soda Water,,NON ALCOHOL,,18,$54.00,$54.00
Spam Musubi,,FOOD,,269,"$3,102.20","$3,243.00"
Starry Daze,SINGLE,ALCOHOL,,31,$362.00,$372.00
Strawberry Lemonade,,NON ALCOHOL,,1,$5.00,$5.00
Strawberry Passion Brulee,,FOOD,,76,$608.00,$608.00
Sweet Chili Wings,,FOOD,,147,"$1,944.60","$2,058.00"
Sweet Potato Fries,,FOOD,,15,$94.50,$105.00
Tamarind Pua'a,,FOOD,,273,"$5,480.00","$5,480.00"
Tanqueray,SINGLE,ALCOHOL,,5,$56.00,$56.00
Teriyaki Prawn Skewers,,FOOD,,85,"$1,617.50","$1,617.50"
Teriyaki Vegetable Skewers,,FOOD,,46,$391.50,$416.50
That One,SINGLE,ALCOHOL,,62,$774.70,$806.00
The Bonzer,SINGLE,ALCOHOL,,96,"$1,076.00","$1,152.00"
The Bonzer Mug,,MERCH-- MUGS,,42,$630.00,$630.00
The Funk,DOUBLE,ALCOHOL,,1,$12.00,$12.00
Tikizilla Short Sleeve,,MERCH--TSHIRTS,,2,$30.00,$40.00
Tito's,SINGLE,ALCOHOL,,50,$432.00,$432.00
Tito's,DOUBLE,ALCOHOL,,7,$84.00,$84.00
Tofu Lettuce Wraps,,FOOD,,74,$844.50,$962.00
Triton's Oasis,SINGLE,ALCOHOL,,3,$90.00,$90.00
Unusual Suspects,SINGLE,ALCOHOL,,120,"$1,370.80","$1,440.00"
Vanilla Ice Cream,,FOOD,,50,$190.00,$250.00
Venus Blend No. 1,SINGLE,ALCOHOL,,16,$150.00,$150.00
Virgin Drink,,ALCOHOL,,38,$228.00,$228.00
Voodoo Ranger,,DRAFT BEER,,14,$106.00,$112.00
Walking Dead,SINGLE,ALCOHOL,,196,"$2,248.00","$2,352.00"
Walking Dead Mug,,MERCH-- MUGS,,66,$973.50,$990.00
Whiskey Sour,SINGLE,ALCOHOL,,4,$40.00,$40.00
White Russian,SINGLE,ALCOHOL,,3,$24.00,$24.00
Wonton Chips Side,,FOOD,,2,$4.00,$4.00
Worthy Park Special Cask Port,SINGLE,ALCOHOL,,1,$19.00,$19.00
Zaya Gran Reserva Rum,SINGLE,ALCOHOL,,3,$38.00,$38.00
Zombie,SINGLE,ALCOHOL,,6,$78.00,$78.00
makai Hat,,MERCH--TSHIRTS,,2,$40.00,$40.00
Total,,,,16670,"$217,260.30","$226,794.35"
